admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0203;0;2018-09-02;2018-10-13;42;4935.2353515625
ML0204;0;2018-09-02;2018-10-13;42;4935.2353515625
ML0206;0;2018-09-02;2018-10-12;41;4718.39892578125
ML0301;0;2016-08-29;2016-10-01;34;643.8836059570312
ML0301;1;2018-08-19;2018-10-13;56;1139.829345703125
ML0303;0;2016-08-30;2016-10-01;33;606.3642578125
ML0303;1;2018-08-21;2018-10-13;54;1029.891845703125
ML0305;0;2016-08-29;2016-10-03;36;767.4913940429688
ML0305;1;2018-08-21;2018-10-12;53;1175.034423828125
ML0402;0;2016-08-31;2016-10-06;37;1295.1009521484375
ML0402;1;2018-08-23;2018-10-21;60;2002.595703125
ML0406;0;2018-09-07;2018-10-11;35;4079.362548828125
ML0503;0;2018-09-04;2018-10-18;45;3004.4033203125
ML0506;0;2018-09-10;2018-11-07;59;2796.990478515625
ML0901;0;2018-09-02;2018-10-12;41;4764.3291015625
