Station names,Lat,Lon,Catchment area (km2)
Guelelinkoro,11.15,-8.5643,23300
Banankoro,11.6889801,-8.665260315,71800
Bamako,12.63129997,-7.998459816,117000
Koulikoro,12.85933304,-7.556388855,120000
Mopti,14.48841953,-4.205490112,281600
Dire,16.27916718,-3.383333206,366500
Ansongo ,15.66493416,0.494453013,566000
Gao,16.26667023,-0.050000001,556000
Sofara,14.01393032,-4.242899895,129400
Douna,13.21725178,-5.899744987,101300
Bougouni,11.39820957,-7.449699879,930
Pankourou,11.44886017,-6.576519966,32150
Kayes,14.45351601,-11.44,157400
Bafing Makana,12.55000019,-10.28333378,21000
