,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,2,5,1,0.667,0.714,0.286,0.4
1,Bafing Makana,0,5,1,0.0,1.0,0.0,
2,Bamako,1,4,1,0.5,0.8,0.2,0.286
3,Banankoro,1,4,3,0.25,0.8,0.2,0.222
4,Bougouni,4,4,2,0.667,0.5,0.5,0.571
5,Dire,0,7,0,,1.0,0.0,
6,Douna,2,4,1,0.667,0.667,0.333,0.444
7,Gao,0,6,0,,1.0,0.0,
8,Kayes,1,4,3,0.25,0.8,0.2,0.222
9,Koulikoro,2,4,1,0.667,0.667,0.333,0.444
10,Mopti,1,4,1,0.5,0.8,0.2,0.286
11,Pankourou,2,4,1,0.667,0.667,0.333,0.444
12,Sofara,2,4,2,0.5,0.667,0.333,0.4
13,total,18,59,17,0.514,0.766,0.234,0.321
