StationName,Sub-Basin,Latitude,Longitude,Altitude Z (m),Catchment area    (km2),dates creation of the station,Basin,,,
Guélélinkoro,Sankarani, 11.15 ,-8.5643,,23300,,Niger,,,
Séligué Aval,, 11.64 ,-8.23,325,34200,1964,Niger,,,
Gouala,, 11.97 ,-8.23,-,35300,-,Niger,,,
Banankoro, Niger Supérieur, 11.68 ,-8.66,,71800,1967,Niger,NB: Les lignes en fond jaune sont les stations étalonnées,,
Kéniéroba ,, 12.10 ,-8.31,-,113000,1953,Niger,,,
Bamako,, 12.63 ,-7.99,316,117000,1941,Niger,,,
Ségou,, 13.45 ,-6.26,279,136500,1958,Niger,,,
Koulikoro,, 12.86 ,-7.56,290,120000,1907,Niger,,,
Tamani,, 13.33 ,-6.83,282,131500,1952,Niger,,,
Kirango,, 13.69 ,-6.07,275,137000,1925,Niger,,,
Mopti,Delta du Niger ou Delta central, 14.49 ,-4.2,261,281600,1922,Niger,,,
Akka,, 15.39 ,-4.23,-,307000,1955,Niger,,,
Ké-Macina ,, 13.95 ,-5.35,277,147000,1953,Niger,,,
Niafunké,, 15.93 ,-3.98,258,348300,1926,Niger,,,
Nantaka,, 14.54 ,-4.21,261,281600,-,Niger,,,
Diré,, 16.27 ,-3.38,258,366500,1954,Niger,,,
Koryoumé,Niger Moyen , 16.67 ,-3.03,-,360000,1963,Niger,,,
Taoussa,, 16.97 ,-0.55,250,340000,1954,Niger,,,
Ansongo ,, 15.66 ,-0.49,242,566000,1950,Niger,,,
Gao,, 16.26 ,-0.05,245,556000,1948,Niger,,,
Labbezanga,, 14.95 ,-0.69,-,-,-,Niger,,,
Beneny Kegny,, 13.38 ,-4.92,266,116000,1951,Niger,,,
Sofara,Bani, 14.01 ,-4.25,263,129400,1952,Niger,,,
Kana,, 12.95 ,-6.34,283,-,-,Niger,,,
Douna,, 13.21 ,-5.89,281,101300,1922,Niger,,,
Bougouni,Baoulé, 11.39 ,-7.45,330,930,1975,Niger,,,
Dioila,, 12.51 ,-6.83,292,32500,1953,Niger,,,
Kouoro1,Banifing, 12.01 ,-5.69,298,14300,1957,Niger,,,
Pankourou,Bagoé, 11.45 ,-6.58,292,32150,1956,Niger,,,
Plétou,Sourou, 13.22 ,-3.28,,,2008,Volta,,,
Daka Saidou,Bafing , 11.94 ,-10.61,307,15700,1952,Senegal,,,
Bafing Makana,, 12.55 ,-10.28,-,21000,1961,Senegal,,,
Dibiya,, 13.14 ,-10.48,125,33500,1961,Senegal,,,
MAHINA,, 13.75 ,-10.85,90,38400,1956,Senegal,,,
Oualia,Bakoye, 13.60 ,-10.38,108,84700,1954,Senegal,,,
Diangola,, 12.80 ,-9.48,-,12100,1973,Senegal,,,
Gourbassy,Falèmé, 13.39 ,-11.63,-,17100,1954,Senegal,,,ow
Kayes,Sénégal, 14.44 ,-11.44,20,157400,1903,Senegal,,,
Gouina,, 14.02 ,-11.1054,48,128600,+,Senegal,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NB: Les lignes en fond jaune sont les stations étalonnées.,,,,,,,,,,
